valueId,timeframe,ts,open,high,low,close,time
rftmxp,4h,2025-10-28T05:31:45.350Z,87.71,87.71,87.71,87.71,2025-10-28T05:31:45.350Z
rftmxp,4h,2025-10-28T10:59:15.041Z,86.82,86.82,86.82,86.82,2025-10-28T10:59:15.041Z
rftmxp,4h,2025-11-07T04:00:00.967Z,90,95.02,84.83,91.09,
rftmxp,4h,2025-11-07T08:00:04.388Z,91.09,94.44,85.14,90.41,
rftmxp,4h,2025-11-07T12:00:04.115Z,90.41,95.03,85.03,89.95,
rftmxp,4h,2025-11-07T15:25:02.296Z,89.96,89.96,89.96,89.96,
rftmxp,4h,2025-11-07T16:44:21.039Z,89.02,89.02,89.02,89.02,
rftmxp,4h,2025-11-07T21:10:06.468Z,87.22,87.22,87.22,87.22,
rftmxp,4h,2025-11-08T15:45:21.376Z,88.5,88.5,88.5,88.5,
rftmxp,4h,2025-11-08T19:50:04.912Z,88.94,88.94,88.94,88.94,
