valueId,timeframe,ts,open,high,low,close,time
grmmxp,1h,2025-10-28T05:31:45.350Z,43.56,43.56,43.56,43.56,2025-10-28T05:31:45.350Z
grmmxp,1h,2025-10-28T10:59:15.041Z,42.9,42.9,42.9,42.9,2025-10-28T10:59:15.041Z
grmmxp,1h,2025-10-28T12:00:58.622Z,43.19,43.19,43.19,43.19,2025-10-28T12:00:58.622Z
grmmxp,1h,2025-11-07T03:00:03.595Z,41,44.45,41,42.43,
grmmxp,1h,2025-11-07T04:00:00.967Z,41,45.98,41,44.41,
grmmxp,1h,2025-11-07T05:00:01.239Z,41,44.61,41,42.78,
grmmxp,1h,2025-11-07T06:00:42.033Z,42.78,45.89,41,43.77,
grmmxp,1h,2025-11-07T07:06:13.929Z,43.77,45.08,43,45.08,
grmmxp,1h,2025-11-07T08:00:04.388Z,45.08,48.05,41.82,43.96,
grmmxp,1h,2025-11-07T09:00:04.229Z,43.96,48.93,43,46.12,
grmmxp,1h,2025-11-07T10:00:04.167Z,46.12,48.11,42.4,46.16,
grmmxp,1h,2025-11-07T11:00:04.693Z,46.16,48.89,43,44.8,
grmmxp,1h,2025-11-07T12:00:04.115Z,44.8,47.94,41.99,45.09,
grmmxp,1h,2025-11-07T13:00:04.049Z,45.09,47.74,43,45.98,
grmmxp,1h,2025-11-07T14:00:02.938Z,45.98,48.58,43.1,44.46,
grmmxp,1h,2025-11-07T14:57:22.780Z,45.79,45.22,43,45.22,
grmmxp,1h,2025-11-07T15:25:02.296Z,46.94,46.94,46.94,46.94,
grmmxp,1h,2025-11-07T16:44:22.497Z,44.98,44.98,44.97,44.97,
grmmxp,1h,2025-11-07T21:10:08.433Z,44.84,45.2,44.84,45.2,
grmmxp,1h,2025-11-08T13:59:59.468Z,46.77,47.11,46.77,47.11,
grmmxp,1h,2025-11-08T14:03:06.469Z,45.12,45.12,45.12,45.12,
grmmxp,1h,2025-11-08T15:45:21.376Z,45.58,45.58,45.58,45.58,
grmmxp,1h,2025-11-08T16:59:53.405Z,45.9,44.79,43,44.79,
grmmxp,1h,2025-11-08T17:49:21.200Z,46.08,45.95,43,45.95,
grmmxp,1h,2025-11-08T18:04:01.240Z,46.66,46.66,46.66,46.66,
grmmxp,1h,2025-11-08T19:49:55.521Z,45.44,46.04,45.44,46.04,
